logical_idx,local_idx,x,y,z,board_id
0,0,0,0,0,0
1,1,1,0,0,0
2,2,2,0,0,0
3,3,3,0,0,0
4,4,4,0,0,0
5,5,5,0,0,0
6,6,6,0,0,0
7,7,7,0,0,0
8,8,8,0,0,0
9,9,9,0,0,0
19,10,9,1,0,0
18,11,8,1,0,0
17,12,7,1,0,0
16,13,6,1,0,0
15,14,5,1,0,0
14,15,4,1,0,0
13,16,3,1,0,0
12,17,2,1,0,0
11,18,1,1,0,0
10,19,0,1,0,0
20,20,0,2,0,0
21,21,1,2,0,0
22,22,2,2,0,0
23,23,3,2,0,0
24,24,4,2,0,0
25,25,5,2,0,0
26,26,6,2,0,0
27,27,7,2,0,0
28,28,8,2,0,0
29,29,9,2,0,0
39,30,9,3,0,0
38,31,8,3,0,0
37,32,7,3,0,0
36,33,6,3,0,0
35,34,5,3,0,0
34,35,4,3,0,0
33,36,3,3,0,0
32,37,2,3,0,0
31,38,1,3,0,0
30,39,0,3,0,0
40,40,0,4,0,0
41,41,1,4,0,0
42,42,2,4,0,0
43,43,3,4,0,0
44,44,4,4,0,0
45,45,5,4,0,0
46,46,6,4,0,0
47,47,7,4,0,0
48,48,8,4,0,0
49,49,9,4,0,0
59,50,9,5,0,0
58,51,8,5,0,0
57,52,7,5,0,0
56,53,6,5,0,0
55,54,5,5,0,0
54,55,4,5,0,0
53,56,3,5,0,0
52,57,2,5,0,0
51,58,1,5,0,0
50,59,0,5,0,0
60,60,0,6,0,0
61,61,1,6,0,0
62,62,2,6,0,0
63,63,3,6,0,0
64,64,4,6,0,0
65,65,5,6,0,0
66,66,6,6,0,0
67,67,7,6,0,0
68,68,8,6,0,0
69,69,9,6,0,0
79,70,9,7,0,0
78,71,8,7,0,0
77,72,7,7,0,0
76,73,6,7,0,0
75,74,5,7,0,0
74,75,4,7,0,0
73,76,3,7,0,0
72,77,2,7,0,0
71,78,1,7,0,0
70,79,0,7,0,0
80,80,0,8,0,0
81,81,1,8,0,0
82,82,2,8,0,0
83,83,3,8,0,0
84,84,4,8,0,0
85,85,5,8,0,0
86,86,6,8,0,0
87,87,7,8,0,0
88,88,8,8,0,0
89,89,9,8,0,0
99,90,9,9,0,0
98,91,8,9,0,0
97,92,7,9,0,0
96,93,6,9,0,0
95,94,5,9,0,0
94,95,4,9,0,0
93,96,3,9,0,0
92,97,2,9,0,0
91,98,1,9,0,0
90,99,0,9,0,0
100,100,0,0,1,0
101,101,1,0,1,0
102,102,2,0,1,0
103,103,3,0,1,0
104,104,4,0,1,0
105,105,5,0,1,0
106,106,6,0,1,0
107,107,7,0,1,0
108,108,8,0,1,0
109,109,9,0,1,0
119,110,9,1,1,0
118,111,8,1,1,0
117,112,7,1,1,0
116,113,6,1,1,0
115,114,5,1,1,0
114,115,4,1,1,0
113,116,3,1,1,0
112,117,2,1,1,0
111,118,1,1,1,0
110,119,0,1,1,0
120,120,0,2,1,0
121,121,1,2,1,0
122,122,2,2,1,0
123,123,3,2,1,0
124,124,4,2,1,0
125,125,5,2,1,0
126,126,6,2,1,0
127,127,7,2,1,0
128,128,8,2,1,0
129,129,9,2,1,0
139,130,9,3,1,0
138,131,8,3,1,0
137,132,7,3,1,0
136,133,6,3,1,0
135,134,5,3,1,0
134,135,4,3,1,0
133,136,3,3,1,0
132,137,2,3,1,0
131,138,1,3,1,0
130,139,0,3,1,0
140,140,0,4,1,0
141,141,1,4,1,0
142,142,2,4,1,0
143,143,3,4,1,0
144,144,4,4,1,0
145,145,5,4,1,0
146,146,6,4,1,0
147,147,7,4,1,0
148,148,8,4,1,0
149,149,9,4,1,0
159,150,9,5,1,0
158,151,8,5,1,0
157,152,7,5,1,0
156,153,6,5,1,0
155,154,5,5,1,0
154,155,4,5,1,0
153,156,3,5,1,0
152,157,2,5,1,0
151,158,1,5,1,0
150,159,0,5,1,0
160,160,0,6,1,0
161,161,1,6,1,0
162,162,2,6,1,0
163,163,3,6,1,0
164,164,4,6,1,0
165,165,5,6,1,0
166,166,6,6,1,0
167,167,7,6,1,0
168,168,8,6,1,0
169,169,9,6,1,0
179,170,9,7,1,0
178,171,8,7,1,0
177,172,7,7,1,0
176,173,6,7,1,0
175,174,5,7,1,0
174,175,4,7,1,0
173,176,3,7,1,0
172,177,2,7,1,0
171,178,1,7,1,0
170,179,0,7,1,0
180,180,0,8,1,0
181,181,1,8,1,0
182,182,2,8,1,0
183,183,3,8,1,0
184,184,4,8,1,0
185,185,5,8,1,0
186,186,6,8,1,0
187,187,7,8,1,0
188,188,8,8,1,0
189,189,9,8,1,0
199,190,9,9,1,0
198,191,8,9,1,0
197,192,7,9,1,0
196,193,6,9,1,0
195,194,5,9,1,0
194,195,4,9,1,0
193,196,3,9,1,0
192,197,2,9,1,0
191,198,1,9,1,0
190,199,0,9,1,0
200,200,0,0,2,0
201,201,1,0,2,0
202,202,2,0,2,0
203,203,3,0,2,0
204,204,4,0,2,0
205,205,5,0,2,0
206,206,6,0,2,0
207,207,7,0,2,0
208,208,8,0,2,0
209,209,9,0,2,0
219,210,9,1,2,0
218,211,8,1,2,0
217,212,7,1,2,0
216,213,6,1,2,0
215,214,5,1,2,0
214,215,4,1,2,0
213,216,3,1,2,0
212,217,2,1,2,0
211,218,1,1,2,0
210,219,0,1,2,0
220,220,0,2,2,0
221,221,1,2,2,0
222,222,2,2,2,0
223,223,3,2,2,0
224,224,4,2,2,0
225,225,5,2,2,0
226,226,6,2,2,0
227,227,7,2,2,0
228,228,8,2,2,0
229,229,9,2,2,0
239,230,9,3,2,0
238,231,8,3,2,0
237,232,7,3,2,0
236,233,6,3,2,0
235,234,5,3,2,0
234,235,4,3,2,0
233,236,3,3,2,0
232,237,2,3,2,0
231,238,1,3,2,0
230,239,0,3,2,0
240,240,0,4,2,0
241,241,1,4,2,0
242,242,2,4,2,0
243,243,3,4,2,0
244,244,4,4,2,0
245,245,5,4,2,0
246,246,6,4,2,0
247,247,7,4,2,0
248,248,8,4,2,0
249,249,9,4,2,0
259,250,9,5,2,0
258,251,8,5,2,0
257,252,7,5,2,0
256,253,6,5,2,0
255,254,5,5,2,0
254,255,4,5,2,0
253,256,3,5,2,0
252,257,2,5,2,0
251,258,1,5,2,0
250,259,0,5,2,0
260,260,0,6,2,0
261,261,1,6,2,0
262,262,2,6,2,0
263,263,3,6,2,0
264,264,4,6,2,0
265,265,5,6,2,0
266,266,6,6,2,0
267,267,7,6,2,0
268,268,8,6,2,0
269,269,9,6,2,0
279,270,9,7,2,0
278,271,8,7,2,0
277,272,7,7,2,0
276,273,6,7,2,0
275,274,5,7,2,0
274,275,4,7,2,0
273,276,3,7,2,0
272,277,2,7,2,0
271,278,1,7,2,0
270,279,0,7,2,0
280,280,0,8,2,0
281,281,1,8,2,0
282,282,2,8,2,0
283,283,3,8,2,0
284,284,4,8,2,0
285,285,5,8,2,0
286,286,6,8,2,0
287,287,7,8,2,0
288,288,8,8,2,0
289,289,9,8,2,0
299,290,9,9,2,0
298,291,8,9,2,0
297,292,7,9,2,0
296,293,6,9,2,0
295,294,5,9,2,0
294,295,4,9,2,0
293,296,3,9,2,0
292,297,2,9,2,0
291,298,1,9,2,0
290,299,0,9,2,0
300,300,0,0,3,0
301,301,1,0,3,0
302,302,2,0,3,0
303,303,3,0,3,0
304,304,4,0,3,0
305,305,5,0,3,0
306,306,6,0,3,0
307,307,7,0,3,0
308,308,8,0,3,0
309,309,9,0,3,0
319,310,9,1,3,0
318,311,8,1,3,0
317,312,7,1,3,0
316,313,6,1,3,0
315,314,5,1,3,0
314,315,4,1,3,0
313,316,3,1,3,0
312,317,2,1,3,0
311,318,1,1,3,0
